Product URL,Product Name,Product Price,Rating,Number of Reviews,availability,ASIN,Product Description,Manufacturer
https://www.amazon.in/POLICE-Backpack-Casual-College-Polyester/dp/B0BHNJK832,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"₹1,399","5,735 ratings",4.1 out of 5 stars,In stock,B0BHNJK832,Backpack,Visit the POLICE Store
https://www.amazon.in/Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGSWH3,"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",₹949,481 ratings,4.3 out of 5 stars,In stock,B094DGSWH3,No Description,Brand: FUR JADEN
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09TTJSPDP,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹420,69 ratings,4.0 out of 5 stars,In stock,B09TTJSPDP,No Description,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK,"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",₹329.00,"29,874 ratings",4.3 out of 5 stars,In stock,B0821PYKVK,"Presto! offers Oxo-Biodegradable Garbage Bags to help you maintain cleanliness and hygiene in your house, office and surroundings. These garbage bags make clean-up and garbage disposal a hassle-free task while being easy on the environment! Large in size, they easily fit any large dustbins, allowing you to clean out overflowing trash. Or store away old clothes for donation or clear out your yard, garden or basement. Handy at offices or hotels, they’re useful for getting rid of leftover party plates and garbage as well. They come with a detachable tie-tape which lets you neatly tie up the bag, making it easier to carry out after use. They are available in black colour in a pack of 6 rolls, and each roll contains 15 bags for your convenience.",Brand: Presto!
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium -(19 x 21 inches) - 30 bags/roll (Pack of 6, Black)",₹319.00,"33,504 ratings",4.4 out of 5 stars,In stock,B0821PN8L4,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium - 30 bags/roll (Pack of 6)",Brand: Presto!
https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2,AmazonBasics Laptop Backpack,₹839.00,648 ratings,4.2 out of 5 stars,In stock,B09W3XLDM2,No Description,Brand: amazon basics
https://www.amazon.in/AmazonBasics-Zippered-Storage-Bags-Window/dp/B07JJCJG5W,"AmazonBasics Zippered Storage Bag with Window, Rectangular",₹659.00,"1,717 ratings",4.3 out of 5 stars,In stock,B07JJCJG5W,No Description,Brand: Amazon Basics
https://www.amazon.in/AmazonBasics-Vacuum-Compression-Storage-Bags/dp/B07RSCPH4N,"AmazonBasics Vacuum Compression Storage Bags with Hand Pump - Large, 5-Pack",₹799.00,"10,390 ratings",4.5 out of 5 stars,In stock,B07RSCPH4N,No Description,Brand: Amazon Basics
https://www.amazon.in/AmazonBasics-Ltrs-Large-Duffel-Bag/dp/B09MJ96GNY,AmazonBasics Nylon 43 Cms Travel Duffle Bag (Red),"₹1,727.00","6,828 ratings",4.3 out of 5 stars,In stock,B01GGNW5AM,"AmazonBasics 98 Ltrs Large Duffel Bag, Red",Brand: amazon basics
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B09ZLDHP3L,Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),"₹1,125","5,912 ratings",4.4 out of 5 stars,In stock,B09ZLDHP3L,No Description,Brand: Gear
